state,date,mob_total
AK,2019-01-26,1946248.4846279926
AK,2019-02-02,2140458.7188407895
AK,2019-02-09,2103370.387606398
AK,2019-02-16,1912779.0817868882
AK,2019-02-23,1768465.554322071
AK,2019-03-02,2138703.243717661
AK,2019-03-09,2888600.7214979487
AK,2019-03-16,2887557.673237606
AK,2019-03-23,2575907.2248490825
AK,2019-03-30,2742445.939895455
AK,2019-04-06,3009385.7441203105
AK,2019-04-13,3333161.1063396097
AK,2019-04-20,2994001.924743455
AK,2019-04-27,2730531.5025298223
AK,2019-05-04,5686205.749517809
AK,2019-05-11,5588197.656044385
AK,2019-05-18,5552244.7517245095
AK,2019-05-25,5732165.567503712
AK,2019-06-01,6094699.042612488
AK,2019-06-08,7153114.012968161
AK,2019-06-15,6577810.558357928
AK,2019-06-22,7529408.660949108
AK,2019-06-29,6628713.2915813755
AK,2019-07-06,9094420.746652985
AK,2019-07-13,8407289.576503899
AK,2019-07-20,7365462.56603874
AK,2019-07-27,7240302.108317204
AK,2019-08-03,10210460.17744396
AK,2019-08-10,9554096.565022184
AK,2019-08-17,8187961.478747154
AK,2019-08-24,6550696.196227652
AK,2019-08-31,6756697.696126968
AK,2019-09-07,10709312.693802794
AK,2019-09-14,8903590.430385415
AK,2019-09-21,8000354.538690804
AK,2019-09-28,7202001.150602492
AK,2019-10-05,8268804.308984264
AK,2019-10-12,6754967.417936395
AK,2019-10-19,5609203.754102962
AK,2019-10-26,6035617.870323663
AK,2019-11-02,5456665.899573803
AK,2019-11-09,7499644.774899178
AK,2019-11-16,6126043.266863216
AK,2019-11-23,6977616.978025124
AK,2019-11-30,5649220.003768717
AK,2019-12-07,7904718.418530487
AK,2019-12-14,7721648.355779689
AK,2019-12-21,8399626.001372216
AK,2019-12-28,5386976.795960771
AK,2020-01-04,6996954.106141027
AK,2020-01-11,7632319.7642617645
AK,2020-01-18,7247510.246480357
AK,2020-01-25,7172053.436282825
AK,2020-02-01,7577046.022083167
AK,2020-02-08,9000750.466787983
AK,2020-02-15,9410015.425583582
AK,2020-02-22,8308578.431578917
AK,2020-02-29,7862924.499608144
AK,2020-03-07,9689967.481726903
AK,2020-03-14,8247464.113052782
AK,2020-03-21,7233153.251257385
AK,2020-03-28,4854606.151300302
AK,2020-04-04,6269043.74744761
AK,2020-04-11,6650846.094586162
AK,2020-04-18,6005377.338071109
AK,2020-04-25,6935852.6492668735
AK,2020-05-02,7078383.474738829
AK,2020-05-09,8804982.423606798
AK,2020-05-16,9641937.099705327
AK,2020-05-23,8495420.38306169
AK,2020-05-30,8865026.45240973
AK,2020-06-06,9946675.968011672
AK,2020-06-13,9330219.48618852
AK,2020-06-20,9310457.9819034
AK,2020-06-27,9230074.219771627
AK,2020-07-04,11132026.180901049
AK,2020-07-11,10356027.790913116
AK,2020-07-18,9484385.16763525
AK,2020-07-25,9061734.001768742
AK,2020-08-01,8245849.865923719
AK,2020-08-08,9810814.062325977
AK,2020-08-15,9792194.912456825
AK,2020-08-22,8064371.6664283695
AK,2020-08-29,7523888.432966562
AK,2020-09-05,9852687.21724047
AK,2020-09-12,9151806.28276109
AK,2020-09-19,8353599.967441303
AK,2020-09-26,8000679.2502351245
AK,2020-10-03,9833701.156014029
AK,2020-10-10,9510505.211095585
AK,2020-10-17,9064579.578683447
AK,2020-10-24,8754797.474679045
AK,2020-10-31,8136286.268122587
AK,2020-11-07,7289308.523219591
AK,2020-11-14,6958963.10364477
AK,2020-11-21,6719860.254599889
AK,2020-11-28,5527798.610127054
AK,2020-12-05,8767214.1718241
AK,2020-12-12,7861666.96941959
